Frame, Timestamp, Render Stars, Tonemapping, User Interface
151, 1781787695284797304, 5169, 292, 88
152, 1781787695291876103, 5794, 620, 409
153, 1781787695297952071, 5166, 288, 289
154, 1781787695303827278, 5014, 289, 355
155, 1781787695310686842, 6208, 290, 337
156, 1781787695316348907, 5170, 287, 16
157, 1781787695322750200, 5172, 477, 668
158, 1781787695328883850, 5422, 290, 347
159, 1781787695334609209, 5170, 289, 89
160, 1781787695341483321, 5504, 684, 422
161, 1781787695347468601, 5009, 287, 280
162, 1781787695353305565, 5010, 288, 350
163, 1781787695360146720, 6169, 289, 349
164, 1781787695365819136, 5173, 287, 16
165, 1781787695371922958, 5163, 288, 512
166, 1781787695378576500, 5813, 288, 341
167, 1781787695384165365, 5165, 289, 89
168, 1781787695390949629, 5376, 639, 496
169, 1781787695397208336, 5285, 293, 277
170, 1781787695403035337, 5009, 286, 340
171, 1781787695409902776, 6185, 289, 341
172, 1781787695415560909, 5161, 289, 14
173, 1781787695421651419, 5163, 289, 518
174, 1781787695428547298, 5905, 288, 361
175, 1781787695434141883, 5163, 291, 88
176, 1781787695440842325, 5384, 644, 502
177, 1781787695446775674, 5276, 290, 278
178, 1781787695452436275, 5172, 287, 89
179, 1781787695459625466, 6062, 408, 344
180, 1781787695465539883, 5018, 289, 278
181, 1781787695471393206, 5012, 287, 350
182, 1781787695478132645, 5874, 288, 351
183, 1781787695483740204, 5165, 288, 88
184, 1781787695490414426, 5388, 631, 501
185, 1781787695496385083, 5279, 291, 290
186, 1781787695502056189, 5172, 289, 87
187, 1781787695509204069, 5752, 682, 364
188, 1781787695515225746, 5163, 289, 279
189, 1781787695521191895, 5167, 287, 341
190, 1781787695527970544, 6089, 289, 337
191, 1781787695533588319, 5172, 292, 87
192, 1781787695540079421, 5187, 584, 535
193, 1781787695546441346, 5449, 288, 278
194, 1781787695552353217, 5162, 289, 369
195, 1781787695559193998, 5904, 523, 350
196, 1781787695564852757, 5173, 286, 16
197, 1781787695570869034, 5168, 289, 361
198, 1781787695577978401, 6091, 291, 374
199, 1781787695583739796, 5159, 289, 90
200, 1781787695590219177, 5175, 592, 544
201, 1781787695596369501, 5438, 286, 290
202, 1781787695602414803, 5168, 288, 94
203, 1781787695609368667, 5770, 682, 353
204, 1781787695615282818, 5012, 289, 278
205, 1781787695621169932, 5016, 288, 340
206, 1781787695627929318, 6059, 290, 348
207, 1781787695633568550, 5167, 292, 79
208, 1781787695639946571, 5182, 597, 535
209, 1781787695646503868, 5664, 292, 289
210, 1781787695652437020, 5168, 289, 355
211, 1781787695659348118, 6103, 412, 337
212, 1781787695664995697, 5172, 290, 16
213, 1781787695671065749, 5173, 289, 362
214, 1781787695677812207, 6053, 289, 337
215, 1781787695683592638, 5171, 288, 79
216, 1781787695689948089, 5176, 579, 541
217, 1781787695695941711, 5435, 286, 278
218, 1781787695701591316, 5168, 288, 88
219, 1781787695708768631, 5793, 679, 410
220, 1781787695714803202, 5165, 288, 279
221, 1781787695720660763, 5009, 286, 352
222, 1781787695727450481, 6079, 291, 352
223, 1781787695733100983, 5171, 291, 16
224, 1781787695739489430, 5166, 480, 673
225, 1781787695745662996, 5420, 289, 341
226, 1781787695751245172, 5165, 287, 77
227, 1781787695758224133, 5491, 690, 522
228, 1781787695764203820, 5171, 287, 279
229, 1781787695770104637, 5015, 288, 341
230, 1781787695776934516, 6151, 289, 360
231, 1781787695782593642, 5170, 290, 16
232, 1781787695788963687, 5169, 480, 427
233, 1781787695795162825, 5459, 290, 341
234, 1781787695800770603, 5170, 292, 78
235, 1781787695807592829, 5373, 641, 494
236, 1781787695813524975, 5280, 290, 289
237, 1781787695819175704, 5169, 290, 86
238, 1781787695826420907, 6072, 411, 342
239, 1781787695832419896, 5170, 288, 279
240, 1781787695838435736, 5166, 287, 447
241, 1781787695845021144, 5876, 289, 339
242, 1781787695850603604, 5166, 290, 80
243, 1781787695857246629, 5390, 639, 501
244, 1781787695863584687, 5453, 290, 281
245, 1781787695869402555, 5007, 285, 354
246, 1781787695876404812, 6160, 410, 351
247, 1781787695882037760, 5165, 290, 16
248, 1781787695888245790, 5166, 287, 361
249, 1781787695894967861, 5881, 287, 339
250, 1781787695900514789, 5169, 291, 80
251, 1781787695907253459, 5405, 649, 620
252, 1781787695913236236, 5281, 290, 278
253, 1781787695918877864, 5173, 286, 88
254, 1781787695925957289, 5912, 526, 341
255, 1781787695931999621, 5166, 288, 292
256, 1781787695937941917, 5169, 289, 357
257, 1781787695944717343, 6053, 290, 342
258, 1781787695950319824, 5168, 290, 88
259, 1781787695957007420, 5393, 650, 491
260, 1781787695963334584, 5439, 290, 290
261, 1781787695969233744, 5010, 286, 363
262, 1781787695976221798, 6174, 410, 357
263, 1781787695981869576, 5165, 290, 16
264, 1781787695988041215, 5167, 288, 354
265, 1781787695994738631, 5863, 287, 336
266, 1781787696000294935, 5164, 289, 77
267, 1781787696007093629, 5401, 646, 636
268, 1781787696013025038, 5285, 290, 280
269, 1781787696018669214, 5177, 288, 89
270, 1781787696025798051, 5741, 681, 359
271, 1781787696031740145, 5011, 290, 290
272, 1781787696037577926, 5009, 287, 357
273, 1781787696044380675, 6076, 287, 341
274, 1781787696049988018, 5177, 287, 87
275, 1781787696056476036, 5171, 474, 794
276, 1781787696062821153, 5499, 289, 285
277, 1781787696068438861, 5167, 288, 88
278, 1781787696075582103, 5793, 681, 406
279, 1781787696081425893, 5014, 289, 287
