Frame, Timestamp, Render Stars, Tonemapping, User Interface
151, 1781787695284797304, 18896, 45, 342
152, 1781787695291876103, 18262, 44, 340
153, 1781787695297952071, 18760, 45, 341
154, 1781787695303827278, 18844, 46, 349
155, 1781787695310686842, 18988, 45, 349
156, 1781787695316348907, 18265, 46, 350
157, 1781787695322750200, 18184, 46, 338
158, 1781787695328883850, 18227, 46, 339
159, 1781787695334609209, 18246, 45, 338
160, 1781787695341483321, 18243, 45, 336
161, 1781787695347468601, 18906, 46, 338
162, 1781787695353305565, 18951, 46, 349
163, 1781787695360146720, 18263, 45, 338
164, 1781787695365819136, 18245, 45, 340
165, 1781787695371922958, 18305, 46, 338
166, 1781787695378576500, 18992, 47, 335
167, 1781787695384165365, 18971, 45, 350
168, 1781787695390949629, 18900, 45, 338
169, 1781787695397208336, 18290, 45, 349
170, 1781787695403035337, 18994, 46, 349
171, 1781787695409902776, 18248, 45, 339
172, 1781787695415560909, 18257, 45, 337
173, 1781787695421651419, 18536, 46, 348
174, 1781787695428547298, 18846, 45, 338
175, 1781787695434141883, 18896, 45, 339
176, 1781787695440842325, 18892, 46, 339
177, 1781787695446775674, 18803, 47, 337
178, 1781787695452436275, 18334, 45, 348
179, 1781787695459625466, 18804, 46, 347
180, 1781787695465539883, 18250, 46, 342
181, 1781787695471393206, 18269, 46, 348
182, 1781787695478132645, 18398, 47, 337
183, 1781787695483740204, 18905, 45, 336
184, 1781787695490414426, 18113, 46, 340
185, 1781787695496385083, 18260, 45, 337
186, 1781787695502056189, 18644, 45, 341
187, 1781787695509204069, 18574, 45, 348
188, 1781787695515225746, 18501, 45, 348
189, 1781787695521191895, 18851, 46, 336
190, 1781787695527970544, 18907, 47, 338
191, 1781787695533588319, 18241, 45, 337
192, 1781787695540079421, 18628, 45, 337
193, 1781787695546441346, 18513, 45, 341
194, 1781787695552353217, 18813, 45, 341
195, 1781787695559193998, 19024, 45, 338
196, 1781787695564852757, 18587, 46, 339
197, 1781787695570869034, 18955, 46, 348
198, 1781787695577978401, 18263, 45, 336
199, 1781787695583739796, 18965, 45, 335
200, 1781787695590219177, 19031, 46, 340
201, 1781787695596369501, 18906, 45, 337
202, 1781787695602414803, 18297, 45, 339
203, 1781787695609368667, 18841, 46, 336
204, 1781787695615282818, 18539, 45, 340
205, 1781787695621169932, 18535, 45, 348
206, 1781787695627929318, 18201, 44, 349
207, 1781787695633568550, 18491, 46, 338
208, 1781787695639946571, 18094, 45, 341
209, 1781787695646503868, 18800, 46, 340
210, 1781787695652437020, 18219, 45, 337
211, 1781787695659348118, 18417, 45, 338
212, 1781787695664995697, 18909, 46, 342
213, 1781787695671065749, 18554, 45, 348
214, 1781787695677812207, 18560, 46, 340
215, 1781787695683592638, 18251, 45, 352
216, 1781787695689948089, 18900, 45, 349
217, 1781787695695941711, 18551, 44, 339
218, 1781787695701591316, 18935, 45, 336
219, 1781787695708768631, 18923, 46, 338
220, 1781787695714803202, 18853, 45, 338
221, 1781787695720660763, 18424, 45, 338
222, 1781787695727450481, 18755, 45, 343
