Frame, Timestamp, Render Stars, Tonemapping, User Interface
151, 1781787695284797304, 2064, 292, 74
152, 1781787695291876103, 2201, 290, 349
153, 1781787695297952071, 2160, 291, 284
154, 1781787695303827278, 1878, 290, 17
155, 1781787695310686842, 2159, 289, 16
156, 1781787695316348907, 1885, 291, 16
157, 1781787695322750200, 2253, 291, 88
158, 1781787695328883850, 2174, 290, 349
159, 1781787695334609209, 2169, 291, 285
160, 1781787695341483321, 1885, 291, 17
161, 1781787695347468601, 1974, 324, 17
162, 1781787695353305565, 2098, 291, 17
163, 1781787695360146720, 2044, 289, 16
164, 1781787695365819136, 2134, 291, 186
165, 1781787695371922958, 2287, 292, 349
166, 1781787695378576500, 2133, 291, 281
167, 1781787695384165365, 1881, 291, 17
168, 1781787695390949629, 2142, 290, 17
169, 1781787695397208336, 1979, 291, 13
170, 1781787695403035337, 2195, 294, 82
171, 1781787695409902776, 2202, 290, 357
172, 1781787695415560909, 2133, 291, 281
173, 1781787695421651419, 1891, 290, 16
174, 1781787695428547298, 2134, 289, 17
175, 1781787695434141883, 1871, 290, 16
176, 1781787695440842325, 2279, 289, 16
177, 1781787695446775674, 2049, 293, 88
178, 1781787695452436275, 2181, 290, 346
179, 1781787695459625466, 2111, 292, 284
180, 1781787695465539883, 1951, 290, 16
181, 1781787695471393206, 2161, 290, 16
182, 1781787695478132645, 1963, 290, 15
183, 1781787695483740204, 2205, 291, 194
184, 1781787695490414426, 2306, 289, 352
185, 1781787695496385083, 2147, 290, 283
186, 1781787695502056189, 1869, 291, 16
187, 1781787695509204069, 2133, 290, 17
188, 1781787695515225746, 1875, 291, 17
189, 1781787695521191895, 2247, 289, 16
190, 1781787695527970544, 2310, 291, 334
191, 1781787695533588319, 2166, 293, 347
192, 1781787695540079421, 1887, 290, 17
193, 1781787695546441346, 1977, 318, 17
194, 1781787695552353217, 2086, 291, 17
195, 1781787695559193998, 1973, 290, 16
196, 1781787695564852757, 2216, 291, 84
197, 1781787695570869034, 2179, 289, 356
198, 1781787695577978401, 2105, 289, 287
199, 1781787695583739796, 1857, 291, 16
200, 1781787695590219177, 2091, 288, 17
201, 1781787695596369501, 1872, 291, 16
202, 1781787695602414803, 2286, 290, 173
203, 1781787695609368667, 2340, 295, 339
204, 1781787695615282818, 2133, 290, 280
205, 1781787695621169932, 1886, 288, 17
206, 1781787695627929318, 2013, 289, 17
207, 1781787695633568550, 2050, 292, 17
208, 1781787695639946571, 2078, 291, 15
209, 1781787695646503868, 2163, 290, 76
210, 1781787695652437020, 1962, 290, 358
211, 1781787695659348118, 2093, 291, 283
212, 1781787695664995697, 1888, 289, 17
213, 1781787695671065749, 2150, 291, 16
214, 1781787695677812207, 2003, 291, 14
215, 1781787695683592638, 2234, 294, 82
216, 1781787695689948089, 1918, 291, 76
217, 1781787695695941711, 1997, 292, 283
218, 1781787695701591316, 2128, 292, 280
219, 1781787695708768631, 2131, 289, 16
220, 1781787695714803202, 1886, 290, 17
221, 1781787695720660763, 2268, 291, 188
222, 1781787695727450481, 2337, 293, 344
223, 1781787695733100983, 2178, 291, 277
224, 1781787695739489430, 1905, 291, 16
225, 1781787695745662996, 1994, 324, 16
226, 1781787695751245172, 2095, 290, 16
227, 1781787695758224133, 1996, 290, 16
228, 1781787695764203820, 2059, 294, 77
229, 1781787695770104637, 2165, 292, 339
230, 1781787695776934516, 2127, 291, 281
231, 1781787695782593642, 1886, 289, 17
232, 1781787695788963687, 2122, 289, 16
233, 1781787695795162825, 1891, 289, 17
234, 1781787695800770603, 2254, 292, 77
235, 1781787695807592829, 2165, 292, 356
236, 1781787695813524975, 2150, 292, 278
237, 1781787695819175704, 1868, 291, 16
238, 1781787695826420907, 2068, 290, 16
239, 1781787695832419896, 1877, 290, 17
